FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
3969:ch3,Timeseries,64Hz,,,,,,
65142:ch3,Timeseries,64Hz,,,,,,

DATA_START
Time,3969:ch3,65142:ch3
09/04/19 21:11:05.000000000,-0.9972277,-0.999482
09/04/19 21:11:05.015625000,-0.9974794,-1.001453
09/04/19 21:11:05.031250000,-1.000249,-1.002439
09/04/19 21:11:05.046875000,-1.003018,-1.002932
09/04/19 21:11:05.062500000,-1.001256,-1.001453
09/04/19 21:11:05.078125000,-0.9989899,-1.000714
09/04/19 21:11:05.093750000,-0.9979829,-0.9999748
09/04/19 21:11:05.109375000,-0.9974794,-1.000468
09/04/19 21:11:05.125000000,-0.9982347,-1.000468
09/04/19 21:11:05.140625000,-0.9987382,-1.000468
09/04/19 21:11:05.156250000,-0.9994934,-0.999482
09/04/19 21:11:05.171875000,-0.9992417,-0.9997284
09/04/19 21:11:05.187500000,-0.9952137,-1.001946
09/04/19 21:11:05.203125000,-0.9964724,-1.0017
09/04/19 21:11:05.218750000,-1.003521,-1.000221
09/04/19 21:11:05.234375000,-1.008808,-1.001207
09/04/19 21:11:05.250000000,-1.002011,-1.003425
09/04/19 21:11:05.265625000,-0.9954655,-1.001946
09/04/19 21:11:05.281250000,-0.9921927,-1.001453
09/04/19 21:11:05.296875000,-0.9997451,-1.00096
09/04/19 21:11:05.312500000,-1.004528,-0.999482
09/04/19 21:11:05.328125000,-1.0005,-0.9987426
09/04/19 21:11:05.343750000,-0.9972277,-0.999482
09/04/19 21:11:05.359375000,-0.9954655,-0.9999748
09/04/19 21:11:05.375000000,-0.9974794,-1.002192
09/04/19 21:11:05.390625000,-1.002263,-1.003671
09/04/19 21:11:05.406250000,-1.00327,-1.002439
09/04/19 21:11:05.421875000,-1.001256,-1.001207
09/04/19 21:11:05.437500000,-0.9989899,-0.9999748
09/04/19 21:11:05.453125000,-0.9982347,-1.000714
09/04/19 21:11:05.468750000,-0.9979829,-1.00096
09/04/19 21:11:05.484375000,-0.9967242,-0.9997284
09/04/19 21:11:05.500000000,-0.9977312,-0.9987426
09/04/19 21:11:05.515625000,-0.9972277,-0.9992355
09/04/19 21:11:05.531250000,-0.9954655,-1.001453
09/04/19 21:11:05.546875000,-1.005032,-1.0017
09/04/19 21:11:05.562500000,-1.007549,-1.001946
09/04/19 21:11:05.578125000,-1.001507,-1.003671
09/04/19 21:11:05.593750000,-0.9977312,-1.001946
09/04/19 21:11:05.609375000,-0.9924445,-1.001207
09/04/19 21:11:05.625000000,-0.9989899,-1.000221
09/04/19 21:11:05.640625000,-1.003521,-0.999482
09/04/19 21:11:05.656250000,-1.001507,-0.9987426
09/04/19 21:11:05.671875000,-0.9967242,-0.9992355
09/04/19 21:11:05.687500000,-0.9959689,-0.9999748
09/04/19 21:11:05.703125000,-0.9982347,-1.002192
09/04/19 21:11:05.718750000,-1.001507,-1.003178
09/04/19 21:11:05.734375000,-1.002766,-1.001946
09/04/19 21:11:05.750000000,-1.001507,-1.001453
09/04/19 21:11:05.765625000,-0.9982347,-1.000221
09/04/19 21:11:05.781250000,-0.9977312,-1.000468
09/04/19 21:11:05.796875000,-0.9982347,-1.001453
09/04/19 21:11:05.812500000,-0.9972277,-1.000221
09/04/19 21:11:05.828125000,-0.9987382,-0.9992355
09/04/19 21:11:05.843750000,-0.9999969,-0.999482
09/04/19 21:11:05.859375000,-0.9982347,-1.001207
09/04/19 21:11:05.875000000,-0.9934515,-1.0017
09/04/19 21:11:05.890625000,-1.001256,-1.001453
09/04/19 21:11:05.906250000,-1.008305,-0.9997284
09/04/19 21:11:05.921875000,-1.003773,-1.002685
09/04/19 21:11:05.937500000,-0.9979829,-1.001946
09/04/19 21:11:05.953125000,-0.9924445,-1.002685
09/04/19 21:11:05.968750000,-0.9974794,-1.001453
09/04/19 21:11:05.984375000,-1.003521,-1.000221
09/04/19 21:11:06.000000000,-1.002263,-0.9987426
09/04/19 21:11:06.015625000,-0.9977312,-0.9992355
09/04/19 21:11:06.031250000,-0.9959689,-0.9987426
09/04/19 21:11:06.046875000,-0.9962207,-1.000221
09/04/19 21:11:06.062500000,-0.9994934,-1.002932
09/04/19 21:11:06.078125000,-1.002263,-1.002932
09/04/19 21:11:06.093750000,-1.002263,-1.002439
09/04/19 21:11:06.109375000,-1.002263,-1.001453
09/04/19 21:11:06.125000000,-0.9992417,-1.000221
09/04/19 21:11:06.140625000,-0.9959689,-1.000221
09/04/19 21:11:06.156250000,-0.996976,-1.000714
09/04/19 21:11:06.171875000,-0.9987382,-0.9992355
09/04/19 21:11:06.187500000,-0.9982347,-0.9984962
09/04/19 21:11:06.203125000,-0.9947102,-0.9997284
09/04/19 21:11:06.218750000,-0.9967242,-1.0017
09/04/19 21:11:06.234375000,-1.004528,-1.000221
09/04/19 21:11:06.250000000,-1.008556,-1.002932
09/04/19 21:11:06.265625000,-1.000752,-1.003918
09/04/19 21:11:06.281250000,-0.9944584,-1.001946
09/04/19 21:11:06.296875000,-0.9934515,-1.001453
09/04/19 21:11:06.312500000,-1.003773,-1.001453
09/04/19 21:11:06.328125000,-1.004025,-0.998989
09/04/19 21:11:06.343750000,-0.9979829,-0.9982498
09/04/19 21:11:06.359375000,-0.9954655,-0.999482
09/04/19 21:11:06.375000000,-0.9974794,-1.000468
09/04/19 21:11:06.390625000,-0.9984864,-1.002685
09/04/19 21:11:06.406250000,-1.003521,-1.003178
09/04/19 21:11:06.421875000,-1.001256,-1.001453
09/04/19 21:11:06.437500000,-1.001256,-1.000468
09/04/19 21:11:06.453125000,-0.9967242,-1.00096
